fecha,año,mes,dia,dia_semana,dia_del_año,temp_media,temp_maxima,temp_minima,precipitacion_mm,humedad_relativa,velocidad_viento,presion_hpa,nubosidad_oktas,tipo_dia
2018-01-22,2018,1,22,0,22,19.8,25.3,13.8,0.0,59.4,12.4,864.7,2.0,Despejado
2018-01-23,2018,1,23,1,23,20.8,27.7,13.4,0.0,51.7,4.1,864.4,3.0,Despejado
2018-01-24,2018,1,24,2,24,21.1,27.9,14.3,0.0,59.1,5.6,863.9,2.0,Despejado
2018-01-25,2018,1,25,3,25,17.6,23.5,10.8,0.0,58.0,39.3,867.7,2.0,Despejado
2018-01-26,2018,1,26,4,26,19.6,24.9,13.6,0.0,59.6,17.9,864.2,3.0,Despejado
2018-01-27,2018,1,27,5,27,20.7,26.2,16.6,0.0,59.8,17.4,862.9,0.0,Despejado
2018-01-28,2018,1,28,6,28,16.3,22.7,10.9,0.0,51.1,9.2,867.3,0.0,Despejado
2018-01-29,2018,1,29,0,29,19.6,25.6,11.7,0.0,51.7,5.8,868.7,2.0,Despejado
2018-01-30,2018,1,30,1,30,23.4,27.0,15.5,0.0,57.5,5.8,862.3,0.0,Despejado
2018-01-31,2018,1,31,2,31,20.6,26.4,15.5,0.0,58.7,4.0,865.1,2.0,Despejado
2018-02-01,2018,2,1,3,32,17.4,22.1,10.4,0.0,59.0,10.8,868.7,1.0,Despejado
2018-02-02,2018,2,2,4,33,21.7,26.6,15.2,0.0,57.6,4.3,862.2,1.0,Despejado
2018-02-03,2018,2,3,5,34,20.6,26.4,15.9,0.0,54.8,11.4,864.0,3.0,Despejado
2018-02-04,2018,2,4,6,35,21.2,26.1,13.4,1.8,53.9,15.1,867.6,8.0,Llovizna
2018-02-05,2018,2,5,0,36,16.7,20.3,9.4,0.0,59.1,3.5,865.7,3.0,Despejado
2018-02-06,2018,2,6,1,37,19.5,23.6,12.5,0.0,54.6,12.6,866.4,1.0,Despejado
2018-02-07,2018,2,7,2,38,22.1,28.9,14.7,0.0,54.1,8.1,864.1,1.0,Despejado
2018-02-08,2018,2,8,3,39,24.1,30.7,18.5,0.0,51.1,5.6,864.9,1.0,Despejado
2018-02-09,2018,2,9,4,40,20.8,25.3,15.5,4.7,60.2,33.4,864.4,6.0,Llovizna
2018-02-10,2018,2,10,5,41,23.2,28.2,15.6,0.0,56.6,14.7,862.3,2.0,Despejado
2018-02-11,2018,2,11,6,42,20.8,24.6,13.5,0.0,57.6,3.1,866.6,2.0,Despejado
2018-02-12,2018,2,12,0,43,19.8,26.8,12.8,0.0,56.8,37.6,866.8,3.0,Despejado
2018-02-13,2018,2,13,1,44,19.8,23.3,13.9,0.0,47.7,21.3,867.4,1.0,Despejado
2018-02-14,2018,2,14,2,45,21.5,25.8,13.6,0.0,51.3,11.9,862.0,3.0,Despejado
2018-02-15,2018,2,15,3,46,19.0,24.7,12.2,26.9,77.3,18.8,865.5,7.0,Lluvia_intensa
2018-02-16,2018,2,16,4,47,25.3,29.8,20.5,0.0,48.9,20.7,862.1,2.0,Despejado
2018-02-17,2018,2,17,5,48,22.9,28.8,16.8,0.0,57.8,5.6,860.8,3.0,Despejado
2018-02-18,2018,2,18,6,49,22.8,29.6,15.3,0.0,51.4,6.2,864.7,1.0,Despejado
2018-02-19,2018,2,19,0,50,23.9,29.5,18.4,0.0,52.7,18.3,862.6,0.0,Despejado
2018-02-20,2018,2,20,1,51,20.6,27.6,14.4,0.0,60.2,4.7,865.0,3.0,Despejado
2018-02-21,2018,2,21,2,52,21.4,25.7,14.7,0.0,53.5,6.0,861.9,2.0,Despejado
2018-02-22,2018,2,22,3,53,17.6,23.0,11.4,0.0,62.5,12.5,866.3,3.0,Despejado
2018-02-23,2018,2,23,4,54,24.1,30.1,19.2,0.0,48.7,4.5,862.5,2.0,Despejado
2018-02-24,2018,2,24,5,55,23.0,27.9,16.5,0.0,46.6,9.3,863.8,2.0,Despejado
2018-02-25,2018,2,25,6,56,16.2,21.4,10.9,0.0,58.3,5.8,868.0,3.0,Despejado
2018-02-26,2018,2,26,0,57,18.1,24.7,12.2,0.0,59.7,3.5,864.2,1.0,Despejado
2018-02-27,2018,2,27,1,58,21.8,25.9,17.4,0.0,52.7,2.8,863.3,1.0,Despejado
2018-02-28,2018,2,28,2,59,20.6,26.3,16.3,0.0,51.1,7.1,864.5,2.0,Despejado
2018-03-01,2018,3,1,3,60,23.5,27.7,18.0,0.0,61.7,11.0,862.3,1.0,Despejado
2018-03-02,2018,3,2,4,61,28.4,33.7,22.3,0.0,53.6,5.0,862.0,3.0,Despejado
2018-03-03,2018,3,3,5,62,21.3,26.1,17.2,0.0,65.9,2.2,860.6,1.0,Despejado
2018-03-04,2018,3,4,6,63,21.2,27.5,15.2,0.0,57.2,1.0,864.7,2.0,Despejado
2018-03-05,2018,3,5,0,64,25.3,29.2,20.2,0.0,66.5,10.9,863.8,1.0,Despejado
2018-03-06,2018,3,6,1,65,26.3,30.2,21.7,0.0,51.1,3.5,861.8,1.0,Despejado
2018-03-07,2018,3,7,2,66,23.7,30.3,19.4,0.0,56.6,2.7,862.5,1.0,Despejado
2018-03-08,2018,3,8,3,67,18.1,24.5,13.1,0.0,64.8,1.0,866.5,3.0,Despejado
2018-03-09,2018,3,9,4,68,23.2,27.7,16.1,0.0,60.6,6.5,863.7,2.0,Despejado
2018-03-10,2018,3,10,5,69,22.2,26.7,15.9,0.0,55.2,5.7,863.2,2.0,Despejado
2018-03-11,2018,3,11,6,70,22.8,26.8,18.5,0.0,69.9,0.5,861.1,1.0,Despejado
2018-03-12,2018,3,12,0,71,22.1,26.8,14.4,0.0,62.3,11.4,862.8,1.0,Despejado
2018-03-13,2018,3,13,1,72,28.5,34.6,22.2,0.0,55.4,1.6,860.8,0.0,Despejado
2018-03-14,2018,3,14,2,73,23.1,28.9,17.0,0.0,59.0,1.8,862.9,2.0,Despejado
2018-03-15,2018,3,15,3,74,22.7,27.5,16.8,0.0,57.7,13.6,865.0,1.0,Despejado
2018-03-16,2018,3,16,4,75,25.6,32.3,19.1,0.0,53.4,2.1,861.8,2.0,Despejado
2018-03-17,2018,3,17,5,76,25.1,31.4,18.6,0.0,57.8,3.3,863.3,0.0,Despejado
2018-03-18,2018,3,18,6,77,25.4,29.0,19.1,0.0,57.2,1.3,860.6,2.0,Despejado
2018-03-19,2018,3,19,0,78,21.7,28.2,17.2,0.0,58.1,13.8,865.3,0.0,Despejado
2018-03-20,2018,3,20,1,79,26.1,32.0,19.9,0.0,54.7,2.1,863.3,2.0,Despejado
2018-03-21,2018,3,21,2,80,25.4,30.3,19.6,0.0,52.7,19.1,861.5,2.0,Despejado
2018-03-22,2018,3,22,3,81,23.8,29.8,19.2,0.0,68.6,0.5,865.7,3.0,Despejado
2018-03-23,2018,3,23,4,82,24.6,31.3,18.8,0.0,52.1,10.7,865.5,3.0,Despejado
2018-03-24,2018,3,24,5,83,28.7,33.4,23.1,0.0,56.7,0.5,862.2,0.0,Despejado
2018-03-25,2018,3,25,6,84,22.2,27.3,17.3,0.0,58.2,3.4,864.8,2.0,Despejado
2018-03-26,2018,3,26,0,85,21.0,26.5,14.5,0.0,59.4,5.5,865.7,1.0,Despejado
2018-03-27,2018,3,27,1,86,23.1,26.8,16.1,3.3,58.0,51.2,863.2,7.0,Llovizna
2018-03-28,2018,3,28,2,87,23.8,27.5,16.7,0.0,57.5,1.7,863.0,2.0,Despejado
2018-03-29,2018,3,29,3,88,22.3,26.3,17.6,0.0,48.5,4.1,865.4,2.0,Despejado
2018-03-30,2018,3,30,4,89,20.4,24.7,15.5,0.0,57.3,4.2,866.2,0.0,Despejado
2018-03-31,2018,3,31,5,90,26.1,29.9,21.1,0.0,54.3,8.5,862.6,1.0,Despejado
2018-04-01,2018,4,1,6,91,26.6,33.2,22.5,0.0,57.9,4.0,860.0,1.0,Despejado
2018-04-02,2018,4,2,0,92,26.4,32.8,21.0,0.0,57.5,4.4,859.9,3.0,Despejado
2018-04-03,2018,4,3,1,93,23.6,28.6,18.4,0.0,52.5,2.5,861.2,2.0,Despejado
2018-04-04,2018,4,4,2,94,28.8,35.4,21.6,0.0,52.4,16.2,861.1,1.0,Despejado
2018-04-05,2018,4,5,3,95,24.3,30.7,16.4,0.0,57.5,6.2,860.8,0.0,Despejado
2018-04-06,2018,4,6,4,96,26.7,30.6,20.4,0.0,53.9,0.5,860.4,3.0,Despejado
2018-04-07,2018,4,7,5,97,26.0,31.8,21.3,0.0,49.7,14.2,862.3,2.0,Despejado
2018-04-08,2018,4,8,6,98,27.2,31.3,20.2,0.0,48.3,5.9,859.4,0.0,Despejado
2018-04-09,2018,4,9,0,99,25.5,30.0,19.2,0.0,53.8,3.9,860.8,2.0,Despejado
2018-04-10,2018,4,10,1,100,22.3,25.9,17.3,0.0,61.1,10.6,864.1,1.0,Despejado
2018-04-11,2018,4,11,2,101,23.9,27.7,17.0,0.0,58.5,7.3,864.7,0.0,Despejado
2018-04-12,2018,4,12,3,102,23.6,29.9,16.8,0.0,55.7,2.3,865.9,2.0,Despejado
2018-04-13,2018,4,13,4,103,26.4,31.8,18.9,0.0,49.9,0.8,861.6,1.0,Despejado
2018-04-14,2018,4,14,5,104,26.4,30.8,20.4,0.0,58.5,9.4,863.4,3.0,Despejado
2018-04-15,2018,4,15,6,105,26.0,32.9,18.2,0.0,57.3,6.7,860.3,3.0,Despejado
2018-04-16,2018,4,16,0,106,27.3,30.9,20.9,0.0,55.7,3.1,861.3,2.0,Despejado
2018-04-17,2018,4,17,1,107,24.2,28.8,17.7,4.8,60.4,12.7,863.5,7.0,Llovizna
2018-04-18,2018,4,18,2,108,21.0,24.6,13.5,0.0,54.6,0.5,865.3,3.0,Despejado
2018-04-19,2018,4,19,3,109,26.6,31.8,20.1,0.0,56.3,49.5,863.5,1.0,Despejado
2018-04-20,2018,4,20,4,110,23.7,27.6,18.3,0.0,51.4,10.7,860.5,1.0,Despejado
2018-04-21,2018,4,21,5,111,23.0,27.3,15.2,0.0,54.4,0.5,860.6,2.0,Despejado
2018-04-22,2018,4,22,6,112,22.6,27.7,16.1,0.0,58.2,16.9,862.4,3.0,Despejado
2018-04-23,2018,4,23,0,113,27.6,33.8,22.2,0.0,61.9,2.1,860.4,1.0,Despejado
2018-04-24,2018,4,24,1,114,23.8,30.2,18.9,13.9,67.7,26.8,861.3,5.0,Lluvia_moderada
2018-04-25,2018,4,25,2,115,25.5,32.3,18.1,0.0,50.8,6.9,861.3,3.0,Despejado
2018-04-26,2018,4,26,3,116,24.3,29.1,19.3,0.0,60.3,0.7,865.8,1.0,Despejado
2018-04-27,2018,4,27,4,117,25.0,30.2,19.1,0.0,64.4,2.0,861.7,3.0,Despejado
2018-04-28,2018,4,28,5,118,25.6,30.0,18.1,0.0,54.8,9.1,863.7,2.0,Despejado
2018-04-29,2018,4,29,6,119,26.3,32.2,19.8,0.0,60.7,16.2,863.0,2.0,Despejado
2018-04-30,2018,4,30,0,120,26.2,30.3,18.9,0.0,55.7,3.3,862.1,2.0,Despejado
2018-05-01,2018,5,1,1,121,24.7,30.9,20.3,2.7,64.7,37.6,863.7,7.0,Llovizna
2018-05-02,2018,5,2,2,122,21.8,28.6,17.4,0.0,61.6,3.3,864.1,2.0,Despejado
2018-05-03,2018,5,3,3,123,25.0,31.6,17.1,2.9,61.2,6.1,864.2,5.0,Llovizna
2018-05-04,2018,5,4,4,124,21.4,25.0,16.1,0.0,57.5,11.4,864.8,0.0,Despejado
2018-05-05,2018,5,5,5,125,27.9,34.2,21.1,0.0,54.9,4.7,858.8,0.0,Despejado
2018-05-06,2018,5,6,6,126,20.0,26.8,15.4,0.0,61.7,8.5,864.1,1.0,Despejado
2018-05-07,2018,5,7,0,127,26.0,30.9,18.4,0.0,56.1,8.1,859.7,3.0,Despejado
2018-05-08,2018,5,8,1,128,23.1,30.0,18.4,0.0,53.5,16.0,865.6,1.0,Despejado
2018-05-09,2018,5,9,2,129,25.3,28.9,17.6,0.0,58.8,14.9,863.3,0.0,Despejado
2018-05-10,2018,5,10,3,130,27.4,33.3,21.7,0.0,55.2,1.0,863.4,0.0,Despejado
2018-05-11,2018,5,11,4,131,24.5,29.4,18.6,7.0,57.4,16.6,862.3,5.0,Lluvia_moderada
2018-05-12,2018,5,12,5,132,24.5,28.1,18.6,0.0,61.6,15.7,861.1,2.0,Despejado
2018-05-13,2018,5,13,6,133,24.0,29.5,20.0,0.0,56.3,1.2,866.6,2.0,Despejado
2018-05-14,2018,5,14,0,134,24.6,28.4,19.0,0.0,54.0,3.5,862.7,0.0,Despejado
2018-05-15,2018,5,15,1,135,25.0,30.7,18.2,0.0,52.9,12.9,861.7,0.0,Despejado
2018-05-16,2018,5,16,2,136,23.7,28.4,16.4,22.0,83.0,32.1,863.6,7.0,Lluvia_intensa
2018-05-17,2018,5,17,3,137,27.4,31.1,22.4,0.0,56.3,8.3,863.9,0.0,Despejado
2018-05-18,2018,5,18,4,138,25.0,31.0,20.1,16.4,72.4,21.1,861.6,7.0,Lluvia_moderada
2018-05-19,2018,5,19,5,139,22.2,28.3,16.5,0.0,61.4,0.6,865.5,2.0,Despejado
2018-05-20,2018,5,20,6,140,24.4,31.0,16.8,0.0,51.4,10.3,865.8,1.0,Despejado
2018-05-21,2018,5,21,0,141,21.2,27.3,16.7,0.0,57.6,19.5,865.2,2.0,Despejado
2018-05-22,2018,5,22,1,142,22.0,28.5,16.2,0.0,60.6,5.4,863.5,1.0,Despejado
2018-05-23,2018,5,23,2,143,19.9,25.7,14.6,0.0,61.7,1.4,865.6,1.0,Despejado
2018-05-24,2018,5,24,3,144,24.4,29.7,19.1,0.0,51.4,0.6,862.3,1.0,Despejado
2018-05-25,2018,5,25,4,145,24.1,27.7,17.2,0.0,62.8,7.7,861.6,1.0,Despejado
2018-05-26,2018,5,26,5,146,25.7,32.2,20.9,0.0,61.6,13.1,862.0,2.0,Despejado
2018-05-27,2018,5,27,6,147,23.9,29.2,19.7,6.1,60.6,3.1,864.1,6.0,Lluvia_moderada
2018-05-28,2018,5,28,0,148,24.4,30.2,19.8,34.5,81.3,17.6,863.3,6.0,Lluvia_intensa
2018-05-29,2018,5,29,1,149,22.6,29.1,17.9,0.0,61.5,28.0,864.1,1.0,Despejado
2018-05-30,2018,5,30,2,150,23.2,28.7,19.1,0.0,58.3,7.7,866.4,3.0,Despejado
2018-05-31,2018,5,31,3,151,25.0,28.9,18.4,0.0,59.0,1.9,860.8,2.0,Despejado
2018-06-01,2018,6,1,4,152,25.7,31.8,18.2,0.0,75.7,12.2,861.7,4.0,Despejado
2018-06-02,2018,6,2,5,153,18.8,25.2,14.3,0.0,72.8,13.2,866.6,4.0,Despejado
2018-06-03,2018,6,3,6,154,23.6,27.9,18.1,0.1,68.1,13.8,860.7,6.0,Llovizna
2018-06-04,2018,6,4,0,155,25.7,30.5,20.1,9.3,83.2,21.0,861.4,6.0,Lluvia_moderada
2018-06-05,2018,6,5,1,156,22.3,26.5,18.3,11.4,85.9,29.5,864.7,5.0,Lluvia_moderada
2018-06-06,2018,6,6,2,157,23.9,28.4,18.7,39.3,94.1,32.1,863.0,6.0,Lluvia_intensa
2018-06-07,2018,6,7,3,158,20.3,24.8,14.6,0.0,67.8,7.5,865.4,5.0,Despejado
2018-06-08,2018,6,8,4,159,22.0,27.5,17.0,0.0,73.7,1.6,866.7,2.0,Despejado
2018-06-09,2018,6,9,5,160,22.8,28.5,15.0,0.0,79.3,6.4,863.4,2.0,Despejado
2018-06-10,2018,6,10,6,161,24.8,31.2,17.2,0.0,73.9,2.1,863.3,4.0,Despejado
2018-06-11,2018,6,11,0,162,19.6,25.3,13.8,4.1,82.5,10.4,864.3,5.0,Llovizna
2018-06-12,2018,6,12,1,163,19.8,25.5,13.4,0.0,77.1,15.9,864.8,2.0,Despejado
2018-06-13,2018,6,13,2,164,22.0,26.9,16.3,4.0,77.1,38.1,867.8,7.0,Llovizna
2018-06-14,2018,6,14,3,165,24.4,28.9,20.1,0.0,77.0,1.1,863.2,4.0,Despejado
2018-06-15,2018,6,15,4,166,21.2,24.9,14.0,33.7,90.5,9.5,863.3,7.0,Lluvia_intensa
2018-06-16,2018,6,16,5,167,22.8,28.6,14.8,0.0,67.5,8.4,860.6,3.0,Despejado
2018-06-17,2018,6,17,6,168,23.1,28.6,15.3,0.0,80.2,5.0,864.0,2.0,Despejado
2018-06-18,2018,6,18,0,169,23.4,30.1,18.5,11.5,78.8,21.1,865.2,7.0,Lluvia_moderada
2018-06-19,2018,6,19,1,170,19.7,23.5,12.7,2.5,78.2,19.9,866.3,7.0,Llovizna
2018-06-20,2018,6,20,2,171,22.6,29.4,16.4,0.0,73.3,9.9,862.5,2.0,Despejado
2018-06-21,2018,6,21,3,172,19.5,26.0,14.7,7.6,83.7,25.1,868.9,8.0,Lluvia_moderada
2018-06-22,2018,6,22,4,173,21.4,25.2,15.8,0.0,79.4,16.2,865.1,3.0,Despejado
2018-06-23,2018,6,23,5,174,23.6,30.3,17.7,17.8,87.6,20.8,863.4,8.0,Lluvia_moderada
2018-06-24,2018,6,24,6,175,25.2,29.8,19.2,10.5,82.7,11.8,863.1,6.0,Lluvia_moderada
2018-06-25,2018,6,25,0,176,22.4,28.6,16.6,1.7,77.5,11.3,861.8,5.0,Llovizna
2018-06-26,2018,6,26,1,177,22.6,26.3,16.6,0.0,72.5,2.2,862.7,5.0,Despejado
2018-06-27,2018,6,27,2,178,21.7,27.0,16.0,0.0,76.3,2.9,865.9,4.0,Despejado
2018-06-28,2018,6,28,3,179,19.4,23.0,14.4,8.0,81.6,17.2,865.2,6.0,Lluvia_moderada
2018-06-29,2018,6,29,4,180,21.9,26.2,14.0,0.0,74.8,1.9,862.3,2.0,Despejado
2018-06-30,2018,6,30,5,181,20.2,25.4,14.7,9.1,82.7,5.8,864.2,7.0,Lluvia_moderada
2018-07-01,2018,7,1,6,182,19.9,26.3,15.7,11.1,82.0,20.9,866.6,6.0,Lluvia_moderada
2018-07-02,2018,7,2,0,183,21.6,27.7,15.6,19.4,93.8,22.3,864.2,5.0,Lluvia_moderada
2018-07-03,2018,7,3,1,184,20.2,26.3,14.8,0.8,74.7,2.7,865.1,8.0,Llovizna
2018-07-04,2018,7,4,2,185,19.7,25.5,12.6,0.0,70.6,8.7,864.4,2.0,Despejado
2018-07-05,2018,7,5,3,186,20.9,26.6,13.8,0.4,77.8,7.1,866.5,5.0,Llovizna
2018-07-06,2018,7,6,4,187,22.8,29.1,16.2,62.2,98.0,22.5,865.7,7.0,Lluvia_intensa
2018-07-07,2018,7,7,5,188,25.6,32.4,20.6,7.4,75.3,9.2,860.2,7.0,Lluvia_moderada
2018-07-08,2018,7,8,6,189,21.3,27.8,13.6,0.0,73.7,8.3,865.6,5.0,Despejado
2018-07-09,2018,7,9,0,190,20.6,26.0,12.7,25.3,97.2,26.8,865.8,6.0,Lluvia_intensa
2018-07-10,2018,7,10,1,191,21.6,27.7,15.4,0.0,74.2,13.6,864.2,5.0,Despejado
2018-07-11,2018,7,11,2,192,18.7,22.8,12.9,12.8,94.1,31.1,866.5,7.0,Lluvia_moderada
2018-07-12,2018,7,12,3,193,21.4,25.6,16.0,0.0,71.3,1.8,866.8,4.0,Despejado
2018-07-13,2018,7,13,4,194,22.6,28.7,17.8,0.0,73.3,11.5,863.7,2.0,Despejado
2018-07-14,2018,7,14,5,195,21.5,28.1,15.1,2.9,78.6,24.7,863.0,7.0,Llovizna
2018-07-15,2018,7,15,6,196,17.4,23.1,13.1,9.6,89.9,6.3,865.4,6.0,Lluvia_moderada
2018-07-16,2018,7,16,0,197,25.0,28.7,19.7,16.7,93.6,22.1,862.4,5.0,Lluvia_moderada
2018-07-17,2018,7,17,1,198,24.6,28.6,19.3,0.0,76.3,5.8,863.7,4.0,Despejado
2018-07-18,2018,7,18,2,199,20.0,26.2,15.5,16.4,88.3,70.2,863.4,7.0,Lluvia_moderada
2018-07-19,2018,7,19,3,200,25.7,29.3,21.6,33.0,98.0,12.1,864.4,6.0,Lluvia_intensa
2018-07-20,2018,7,20,4,201,20.7,25.9,16.2,6.4,83.4,7.0,865.4,6.0,Lluvia_moderada
2018-07-21,2018,7,21,5,202,20.7,24.7,13.7,23.4,98.0,19.0,863.9,7.0,Lluvia_intensa
2018-07-22,2018,7,22,6,203,22.5,28.7,16.7,1.1,75.3,5.9,863.4,6.0,Llovizna
2018-07-23,2018,7,23,0,204,22.6,29.3,18.0,0.0,73.8,0.5,862.5,2.0,Despejado
2018-07-24,2018,7,24,1,205,16.7,23.6,11.7,120.0,98.0,39.9,864.3,7.0,Lluvia_intensa
2018-07-25,2018,7,25,2,206,20.7,24.7,15.8,4.0,80.3,11.6,864.5,5.0,Llovizna
2018-07-26,2018,7,26,3,207,23.1,26.9,17.3,13.3,82.4,31.6,863.7,7.0,Lluvia_moderada
2018-07-27,2018,7,27,4,208,21.0,26.4,16.8,3.3,79.4,9.4,865.8,7.0,Llovizna
2018-07-28,2018,7,28,5,209,24.7,30.0,19.9,1.0,73.4,5.4,861.9,7.0,Llovizna
2018-07-29,2018,7,29,6,210,19.8,23.4,15.5,0.0,74.7,33.6,862.7,5.0,Despejado
2018-07-30,2018,7,30,0,211,23.7,27.9,17.6,12.4,82.7,25.9,865.1,8.0,Lluvia_moderada
2018-07-31,2018,7,31,1,212,20.6,24.7,13.8,28.3,98.0,22.8,865.5,7.0,Lluvia_intensa
2018-08-01,2018,8,1,2,213,20.5,27.1,13.9,0.0,79.5,18.9,864.2,3.0,Despejado
2018-08-02,2018,8,2,3,214,21.1,26.9,14.6,9.9,82.9,31.8,866.5,8.0,Lluvia_moderada
2018-08-03,2018,8,3,4,215,19.4,25.9,12.1,13.9,86.2,28.5,865.5,6.0,Lluvia_moderada
2018-08-04,2018,8,4,5,216,21.2,27.6,15.9,21.1,97.0,15.3,864.2,6.0,Lluvia_intensa
2018-08-05,2018,8,5,6,217,23.0,28.1,16.0,0.0,70.2,0.8,862.6,3.0,Despejado
2018-08-06,2018,8,6,0,218,21.0,26.9,15.7,16.5,87.8,45.5,866.3,5.0,Lluvia_moderada
2018-08-07,2018,8,7,1,219,20.9,25.5,16.0,32.9,95.9,23.7,866.6,7.0,Lluvia_intensa
2018-08-08,2018,8,8,2,220,24.0,29.8,17.8,6.2,80.8,12.3,864.0,8.0,Lluvia_moderada
2018-08-09,2018,8,9,3,221,21.6,27.7,13.9,34.0,90.7,23.5,863.9,5.0,Lluvia_intensa
2018-08-10,2018,8,10,4,222,19.9,25.9,14.7,33.2,96.6,18.3,865.5,8.0,Lluvia_intensa
2018-08-11,2018,8,11,5,223,20.8,25.1,16.8,0.0,78.4,1.0,865.1,2.0,Despejado
2018-08-12,2018,8,12,6,224,25.8,32.3,19.1,6.1,72.3,13.2,860.4,8.0,Lluvia_moderada
2018-08-13,2018,8,13,0,225,23.8,30.2,17.4,1.4,75.0,14.9,863.2,5.0,Llovizna
2018-08-14,2018,8,14,1,226,24.3,29.3,19.0,1.7,78.0,22.3,863.6,7.0,Llovizna
2018-08-15,2018,8,15,2,227,25.0,30.3,20.6,37.9,90.8,21.9,864.9,6.0,Lluvia_intensa
2018-08-16,2018,8,16,3,228,23.5,27.2,18.5,11.4,82.9,23.5,864.0,7.0,Lluvia_moderada
2018-08-17,2018,8,17,4,229,21.0,25.5,16.2,2.6,68.2,32.5,862.3,7.0,Llovizna
2018-08-18,2018,8,18,5,230,21.7,28.5,16.1,0.3,79.1,11.9,863.2,6.0,Llovizna
2018-08-19,2018,8,19,6,231,22.3,27.3,16.7,7.2,76.8,21.5,863.2,6.0,Lluvia_moderada
2018-08-20,2018,8,20,0,232,20.5,27.3,13.2,0.0,78.4,3.0,867.0,5.0,Despejado
2018-08-21,2018,8,21,1,233,22.2,26.1,16.5,0.0,71.7,1.0,862.6,3.0,Despejado
2018-08-22,2018,8,22,2,234,17.3,22.1,10.9,0.0,79.6,8.8,866.0,5.0,Despejado
2018-08-23,2018,8,23,3,235,22.3,25.8,16.6,0.0,77.1,10.3,863.9,3.0,Despejado
2018-08-24,2018,8,24,4,236,20.3,26.2,14.6,11.3,76.7,25.2,865.9,8.0,Lluvia_moderada
2018-08-25,2018,8,25,5,237,19.4,24.2,13.0,26.4,98.0,30.1,862.5,7.0,Lluvia_intensa
2018-08-26,2018,8,26,6,238,20.4,24.4,12.8,0.0,71.5,1.5,867.0,4.0,Despejado
2018-08-27,2018,8,27,0,239,19.9,25.5,14.4,17.6,88.1,9.4,862.5,7.0,Lluvia_moderada
2018-08-28,2018,8,28,1,240,20.2,27.1,14.7,75.2,92.3,10.7,865.5,7.0,Lluvia_intensa
2018-08-29,2018,8,29,2,241,19.6,26.0,11.7,24.0,93.7,21.2,866.2,7.0,Lluvia_intensa
2018-08-30,2018,8,30,3,242,21.2,26.6,14.2,55.2,88.6,13.5,862.7,7.0,Lluvia_intensa
2018-08-31,2018,8,31,4,243,21.4,25.4,15.6,5.1,83.7,4.5,861.3,7.0,Lluvia_moderada
2018-09-01,2018,9,1,5,244,23.1,26.7,17.2,13.4,88.7,15.8,866.3,6.0,Lluvia_moderada
2018-09-02,2018,9,2,6,245,18.3,22.3,11.1,0.0,77.9,19.2,866.2,5.0,Despejado
